"x","y","removal","tree_id","tooltip"
39.0999984741211,1,FALSE,"3","DBH:  44.1  - Tree ID:  3"
32.7000007629395,3.5,FALSE,"6","DBH:  60.7  - Tree ID:  6"
26.7999992370605,1.70000004768372,FALSE,"8","DBH:  38.4  - Tree ID:  8"
21.7999992370605,5.30000019073486,FALSE,"12","DBH:  34.6  - Tree ID:  12"
2.59999990463257,6.90000009536743,FALSE,"17","DBH:  36.9  - Tree ID:  17"
12,9.69999980926514,TRUE,"18","DBH:  28.5  - Tree ID:  18"
27.8999996185303,7.69999980926514,FALSE,"22","DBH:  52.1  - Tree ID:  22"
37.0999984741211,9.5,TRUE,"25","DBH:  54.1  - Tree ID:  25"
52.7000007629395,12.5,FALSE,"35","DBH:  37.8  - Tree ID:  35"
23.2999992370605,12.6000003814697,FALSE,"41","DBH:  62.3  - Tree ID:  41"
13.1999998092651,11.8000001907349,FALSE,"46","DBH:  55.7  - Tree ID:  46"
16.1000003814697,20.7999992370605,TRUE,"52","DBH:  0  - Tree ID:  52"
21.2999992370605,15.5,TRUE,"57","DBH:  0  - Tree ID:  57"
26.2999992370605,16.6000003814697,TRUE,"58","DBH:  0  - Tree ID:  58"
45.2999992370605,16.7000007629395,TRUE,"62","DBH:  0  - Tree ID:  62"
52.2999992370605,16.7000007629395,FALSE,"63","DBH:  0  - Tree ID:  63"
42.5999984741211,22.2000007629395,TRUE,"65","DBH:  0  - Tree ID:  65"
40.5999984741211,24.7999992370605,TRUE,"67","DBH:  0  - Tree ID:  67"
34.2000007629395,20.6000003814697,TRUE,"69","DBH:  0  - Tree ID:  69"
4.80000019073486,22.2999992370605,TRUE,"77","DBH:  0  - Tree ID:  77"
11.6000003814697,27.2999992370605,FALSE,"80","DBH:  0  - Tree ID:  80"
43.4000015258789,28.6000003814697,TRUE,"82","DBH:  0  - Tree ID:  82"
50.9000015258789,28.2000007629395,FALSE,"83","DBH:  0  - Tree ID:  83"
0,0,TRUE,"85","DBH:  0  - Tree ID:  85"
54.0999984741211,-1.20000004768372,TRUE,"501","DBH:  0  - Tree ID:  501"
41.5,-1,FALSE,"503","DBH:  0  - Tree ID:  503"
-1.20000004768372,18.6000003814697,FALSE,"504","DBH:  0  - Tree ID:  504"
-1.89999997615814,29.2000007629395,FALSE,"506","DBH:  0  - Tree ID:  506"
39.4000015258789,30.8999996185303,TRUE,"509","DBH:  0  - Tree ID:  509"
57,26.5,FALSE,"512","DBH:  0  - Tree ID:  512"
57.0999984741211,5.30000019073486,FALSE,"514","DBH:  0  - Tree ID:  514"
36.2999992370605,22.5,FALSE,"3","DBH:  44.1  - Tree ID:  3"
32.7000007629395,24.7999992370605,FALSE,"6","DBH:  60.7  - Tree ID:  6"
34.9000015258789,1.20000004768372,FALSE,"8","DBH:  38.4  - Tree ID:  8"
29.5,3.40000009536743,FALSE,"12","DBH:  34.6  - Tree ID:  12"
16.7999992370605,2,FALSE,"17","DBH:  36.9  - Tree ID:  17"
17.2999992370605,7.30000019073486,FALSE,"22","DBH:  52.1  - Tree ID:  22"
27.2999992370605,8.30000019073486,FALSE,"35","DBH:  37.8  - Tree ID:  35"
31.6000003814697,11.8000001907349,FALSE,"41","DBH:  62.3  - Tree ID:  41"
22.2999992370605,10.1000003814697,FALSE,"46","DBH:  55.7  - Tree ID:  46"
14.5,14.1000003814697,FALSE,"63","DBH:  0  - Tree ID:  63"
2.90000009536743,14.6000003814697,FALSE,"80","DBH:  0  - Tree ID:  80"
6.90000009536743,18.6000003814697,FALSE,"83","DBH:  0  - Tree ID:  83"
19.2000007629395,18.1000003814697,FALSE,"503","DBH:  0  - Tree ID:  503"
40.5,16.5,FALSE,"504","DBH:  0  - Tree ID:  504"
33.0999984741211,23.3999996185303,FALSE,"506","DBH:  0  - Tree ID:  506"
24.5,23.2000007629395,FALSE,"512","DBH:  0  - Tree ID:  512"
16.6000003814697,25.6000003814697,FALSE,"514","DBH:  0  - Tree ID:  514"
15.8000001907349,23.6000003814697,FALSE,"3","DBH:  44.1  - Tree ID:  3"
4.5,24.2000007629395,FALSE,"6","DBH:  60.7  - Tree ID:  6"
22.7000007629395,30.3999996185303,FALSE,"8","DBH:  38.4  - Tree ID:  8"
56.7000007629395,19.3999996185303,FALSE,"12","DBH:  34.6  - Tree ID:  12"
44.4000015258789,16.2000007629395,FALSE,"17","DBH:  36.9  - Tree ID:  17"
28.2000007629395,28.7999992370605,FALSE,"22","DBH:  52.1  - Tree ID:  22"
9.69999980926514,2.70000004768372,FALSE,"35","DBH:  37.8  - Tree ID:  35"
54.0999984741211,2.79999995231628,FALSE,"41","DBH:  62.3  - Tree ID:  41"
49.5,1,FALSE,"46","DBH:  55.7  - Tree ID:  46"
33.2000007629395,3.5,FALSE,"63","DBH:  0  - Tree ID:  63"
26.2000007629395,1.20000004768372,FALSE,"80","DBH:  0  - Tree ID:  80"
21.1000003814697,7.30000019073486,FALSE,"83","DBH:  0  - Tree ID:  83"
34.7000007629395,8.5,FALSE,"503","DBH:  0  - Tree ID:  503"
39.2999992370605,8.39999961853027,FALSE,"504","DBH:  0  - Tree ID:  504"
50.7999992370605,4.40000009536743,FALSE,"506","DBH:  0  - Tree ID:  506"
0,0,FALSE,"512","DBH:  0  - Tree ID:  512"
49.5999984741211,12.1000003814697,FALSE,"514","DBH:  0  - Tree ID:  514"
51.9000015258789,11.6000003814697,TRUE,"3","DBH:  44.1  - Tree ID:  3"
43.5,11.6999998092651,TRUE,"6","DBH:  60.7  - Tree ID:  6"
40.5999984741211,13.1000003814697,TRUE,"8","DBH:  38.4  - Tree ID:  8"
39.0999984741211,12.1000003814697,FALSE,"12","DBH:  34.6  - Tree ID:  12"
33.0999984741211,11.8000001907349,TRUE,"17","DBH:  36.9  - Tree ID:  17"
9.39999961853027,15.1000003814697,TRUE,"22","DBH:  52.1  - Tree ID:  22"
5.40000009536743,19.2999992370605,FALSE,"35","DBH:  37.8  - Tree ID:  35"
15.3999996185303,21.2000007629395,FALSE,"41","DBH:  62.3  - Tree ID:  41"
18.7000007629395,22,FALSE,"46","DBH:  55.7  - Tree ID:  46"
0,0,TRUE,"63","DBH:  0  - Tree ID:  63"
19.5,17.1000003814697,TRUE,"80","DBH:  0  - Tree ID:  80"
55.2000007629395,12.6000003814697,FALSE,"83","DBH:  0  - Tree ID:  83"
33.0999984741211,21.2000007629395,FALSE,"113","DBH:  0  - Tree ID:  113"
29.6000003814697,21.6000003814697,TRUE,"503","DBH:  0  - Tree ID:  503"
21.2999992370605,24.7000007629395,TRUE,"504","DBH:  0  - Tree ID:  504"
9,24.5,TRUE,"506","DBH:  0  - Tree ID:  506"
34.9000015258789,26.7000007629395,FALSE,"512","DBH:  0  - Tree ID:  512"
42.5,-1.10000002384186,TRUE,"514","DBH:  0  - Tree ID:  514"
37.7999992370605,31.7999992370605,FALSE,"12","DBH:  34.6  - Tree ID:  12"
54.9000015258789,33.4000015258789,TRUE,"35","DBH:  37.8  - Tree ID:  35"
38.5,16.7999992370605,FALSE,"41","DBH:  62.3  - Tree ID:  41"
38.4000015258789,21.1000003814697,FALSE,"46","DBH:  55.7  - Tree ID:  46"
50.5999984741211,17.7999992370605,FALSE,"83","DBH:  0  - Tree ID:  83"
52.0999984741211,14.5,FALSE,"113","DBH:  0  - Tree ID:  113"
52.2999992370605,12.6999998092651,FALSE,"223","DBH:  0  - Tree ID:  223"
37.0999984741211,12.3999996185303,FALSE,"512","DBH:  0  - Tree ID:  512"
36.25,14.6999998092651,FALSE,"4","DBH:  0  - Tree ID:  4"
37.2999992370605,17,FALSE,"7","DBH:  0  - Tree ID:  7"
38.7999992370605,15.1000003814697,FALSE,"15","DBH:  0  - Tree ID:  15"
36,16.2000007629395,FALSE,"19","DBH:  0  - Tree ID:  19"
40.5,19,FALSE,"21","DBH:  0  - Tree ID:  21"
40.9000015258789,24.4500007629395,TRUE,"40","DBH:  0  - Tree ID:  40"
30.2999992370605,28,FALSE,"42","DBH:  0  - Tree ID:  42"
29.2999992370605,27.2999992370605,TRUE,"45","DBH:  0  - Tree ID:  45"
28.6000003814697,27,FALSE,"48","DBH:  0  - Tree ID:  48"
28.6000003814697,22.7000007629395,FALSE,"50","DBH:  0  - Tree ID:  50"
22.2999992370605,3.20000004768372,TRUE,"55","DBH:  0  - Tree ID:  55"
22.2999992370605,3.70000004768372,TRUE,"61","DBH:  0  - Tree ID:  61"
18.7000007629395,3.70000004768372,TRUE,"68","DBH:  0  - Tree ID:  68"
18.3999996185303,4,FALSE,"72","DBH:  0  - Tree ID:  72"
16.3999996185303,1.70000004768372,TRUE,"74","DBH:  0  - Tree ID:  74"
33.4000015258789,10.1000003814697,TRUE,"75","DBH:  0  - Tree ID:  75"
46.4000015258789,5.90000009536743,TRUE,"78","DBH:  0  - Tree ID:  78"
51.7000007629395,4.40000009536743,FALSE,"507","DBH:  0  - Tree ID:  507"
53.5,7.09999990463257,FALSE,"513","DBH:  0  - Tree ID:  513"
48.5,10,FALSE,"4","DBH:  0  - Tree ID:  4"
20.7000007629395,10.8999996185303,FALSE,"7","DBH:  0  - Tree ID:  7"
20.2999992370605,10.8000001907349,FALSE,"15","DBH:  0  - Tree ID:  15"
36.9000015258789,17.8999996185303,FALSE,"19","DBH:  0  - Tree ID:  19"
37.0999984741211,18.6000003814697,FALSE,"21","DBH:  0  - Tree ID:  21"
43.4000015258789,24.2000007629395,TRUE,"42","DBH:  0  - Tree ID:  42"
3.40000009536743,27.8999996185303,TRUE,"48","DBH:  0  - Tree ID:  48"
51.2000007629395,27.3999996185303,FALSE,"50","DBH:  0  - Tree ID:  50"
-1.89999997615814,21.6000003814697,FALSE,"72","DBH:  0  - Tree ID:  72"
51.5999984741211,34.7000007629395,FALSE,"507","DBH:  0  - Tree ID:  507"
25.2999992370605,12.1000003814697,FALSE,"513","DBH:  0  - Tree ID:  513"
37.2999992370605,12.3999996185303,FALSE,"4","DBH:  0  - Tree ID:  4"
33.2000007629395,18.7000007629395,FALSE,"7","DBH:  0  - Tree ID:  7"
36.7999992370605,18.7999992370605,FALSE,"15","DBH:  0  - Tree ID:  15"
37.0999984741211,19.1000003814697,FALSE,"19","DBH:  0  - Tree ID:  19"
39.4000015258789,19.2999992370605,FALSE,"21","DBH:  0  - Tree ID:  21"
41.2000007629395,20.7999992370605,FALSE,"50","DBH:  0  - Tree ID:  50"
38.2999992370605,22.5,FALSE,"72","DBH:  0  - Tree ID:  72"
36.2000007629395,21.2000007629395,FALSE,"507","DBH:  0  - Tree ID:  507"
34.0999984741211,20.7999992370605,FALSE,"513","DBH:  0  - Tree ID:  513"
52.0999984741211,29.2000007629395,FALSE,"4","DBH:  0  - Tree ID:  4"
52.5,29.3999996185303,FALSE,"7","DBH:  0  - Tree ID:  7"
52.2000007629395,29.5,FALSE,"15","DBH:  0  - Tree ID:  15"
52.2000007629395,30.1000003814697,FALSE,"19","DBH:  0  - Tree ID:  19"
46.5999984741211,17.6000003814697,FALSE,"21","DBH:  0  - Tree ID:  21"
47.2999992370605,12.3999996185303,FALSE,"50","DBH:  0  - Tree ID:  50"
35.5999984741211,14.8000001907349,FALSE,"72","DBH:  0  - Tree ID:  72"
41.4000015258789,18.1000003814697,FALSE,"108","DBH:  0  - Tree ID:  108"
44,26,FALSE,"507","DBH:  0  - Tree ID:  507"
43.5999984741211,26.1000003814697,FALSE,"513","DBH:  0  - Tree ID:  513"
37.7000007629395,22.9500007629395,FALSE,"4","DBH:  0  - Tree ID:  4"
38.7000007629395,25.3999996185303,FALSE,"7","DBH:  0  - Tree ID:  7"
33,21.8999996185303,FALSE,"15","DBH:  0  - Tree ID:  15"
25.2999992370605,17.7999992370605,FALSE,"19","DBH:  0  - Tree ID:  19"
35,16.7999992370605,FALSE,"21","DBH:  0  - Tree ID:  21"
27.1000003814697,10.3999996185303,FALSE,"50","DBH:  0  - Tree ID:  50"
